Notes,Date of first run,Other days run,Other days run,Date of best run,POM #,Date,filter ID,filter ID.2,filter ID.3,filter ID.4,filter ID.5,Tube Weight (g),Tube + Filter Wet Weight (g),Wet Disk(s) weight (g),Freeze Dried Tube + Sample (g),Dry Weight (g),Filter pre weight (g),Dry Material on Filter (g),Percent Dry,Percent Wet,Number of disks,DFO WVL Metadta file name,DFO WVL Metadta file name
low but okay,3/24/18,,,3/24/18,_P17,6/29/17,QF3444,,,,,13.7369,14.5525,0.8156,13.894,0.1571,,0.1571,19.26189308,80.73810692,1,POM Master Sample List,Master POM Sample Information FA analysis 2018
low but okay,3/24/18,,,3/24/18,_P18,5/2/17,QF3183,QF3182,QF3181,,,13.6433,15.9176,2.2743,14.0968,0.4535,,0.4535,19.94020138,80.05979862,3,POM Master Sample List,Master POM Sample Information FA analysis 2018
low but okay,3/24/18,,,3/24/18,_P19,9/11/16,QF2369,QF1822,,,,13.6235,15.2211,1.5976,13.9337,0.3102,,0.3102,19.41662494,80.58337506,2,POM Master Sample List,Master POM Sample Information FA analysis 2018
low but okay,3/24/18,,,3/24/18,_P20,5/29/17,QF3260,QF3258,,,,13.6652,15.3845,1.7193,13.9758,0.3106,,0.3106,18.06549177,81.93450823,2,POM Master Sample List,Master POM Sample Information FA analysis 2018
low but okay,3/24/18,,,3/24/18,_P21,5/17/17,QF3216,QF3186,QF3215,,,13.6686,16.0615,2.3929,14.1271,0.4585,,0.4585,19.16085085,80.83914915,3,POM Master Sample List,Master POM Sample Information FA analysis 2018
low but okay,3/24/18,,,3/24/18,_P22,5/8/17,QF3185,QF3184,,,,13.6978,15.1978,1.5,14.0032,0.3054,,0.3054,20.36,79.64,2,POM Master Sample List,Master POM Sample Information FA analysis 2018
low but okay,3/24/18,12/5/19,,3/24/18,_P23,4/11/17,QF2951,QF2911,,,,13.3945,15.1865,1.792,13.7073,0.3128,,0.3128,17.45535714,82.54464286,2,POM Master Sample List,Master POM Sample Information FA analysis 2018
low but okay,3/24/18,,,3/24/18,_P24,3/30/17,QF2746,QF2907,,,,13.712,15.3481,1.6361,14.0205,0.3085,,0.3085,18.85581566,81.14418434,2,POM Master Sample List,Master POM Sample Information FA analysis 2018
low but okay,3/24/18,12/5/19,,3/24/18,_P25,12/3/16,QF2509,QF2510,,,,13.6577,15.2815,1.6238,13.9577,0.3,,0.3,18.47518167,81.52481833,2,POM Master Sample List,Master POM Sample Information FA analysis 2018
no peaks,5/30/18,12/3/19,,no good run,_P29,4/20/17,QF2952,QF3041,QF3042,,,11.702,14.2448,2.5428,12.1783,0.4763,,0.4763,18.7313198,81.2686802,3,POM Master Sample List,Master POM Sample Information FA analysis 2018
second run good,4/16/19,,2019_12_03,2019_12_03,47-QF3728-pom,11/8/17,QF3728,,,,,11.3512,12.1547,0.8035,11.5065,0.1553,,,,,,SEMSP-fatty acid I,
first better (not good),4/16/19,nothing in second run,2019_12_03,2019_12_03,48-QF3820-pom,10/20/17,QF3820,,,,,11.6194,12.3978,0.7784,11.7751,0.1557,,,,,,SEMSP-fatty acid I,
first better (not good),4/16/19,nothing in second run,2019_12_03,2019_12_03,49-QF3822-pom,10/31/17,QF3822,,,,,11.4137,12.1921,0.7784,11.5687,0.155,,,,,,SEMSP-fatty acid I,
bad- only C19 in one run,4/16/19,nothing in second run,2019_12_05,2019_12_05,50-QF3854-pom,11/16/17,QF3854,,,,,11.7763,12.542,0.7657,11.9303,0.154,,,,,,SEMSP-fatty acid I,
bad- only C19 in one run,4/16/19,nothing in second run,2019_12_03,2019_12_03,51-QF3883-pom,11/20/17,QF3883,,,,,11.5024,12.3023,0.7999,11.6579,0.1555,,,,,,SEMSP-fatty acid I,
bad- only C19 in one run,4/16/19,nothing in second run,2019_12_05,2019_12_05,52-QF3887-pom,12/11/17,QF3887,,,,,11.6014,12.3344,0.733,11.757,0.1556,,,,,,SEMSP-fatty acid I,
"2nd better, but bad (no EPA/DHA, really just 19:0 and 16:0)",4/16/19,,2019_12_03,2019_12_03,53-QF3888-pom,12/6/17,QF3888,,,,,11.6623,12.4966,0.8343,11.8227,0.1604,,,,,,SEMSP-fatty acid I,
"2nd better, but bad (no EPA/DHA, really just 19:0 and 16:0)",4/16/19,,2019_12_03,2019_12_03,54-QF3995-pom,11/27/17,QF3995,,,,,11.4214,12.2168,0.7954,11.5754,0.154,,,,,,SEMSP-fatty acid I,
,6/6/19,,2/18/20,2/19/20,J319-P01,5/15/18,QF4428,,,,,11.577,12.4077,0.8307,11.7357,0.1587,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,2/18/20,2/19/20,J319-P02,4/24/18,QF4427,,,,,11.6746,12.4744,0.7998,11.8324,0.1578,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,,,,missing,J319-P03,4/24/18,QF4426,,,,,11.5809,12.5178,0.9369,11.7428,0.1619,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,2/18/20,2/19/20,J319-P04,6/11/18,QF4378,,,,,11.5859,12.3864,0.8005,11.7393,0.1534,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/18/20,J319-P05,4/17/18,QF4362,,,,,11.6251,12.4188,0.7937,11.7814,0.1563,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/18/20,J319-P06,4/17/18,QF4361,,,,,11.6888,12.5041,0.8153,11.8448,0.156,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/18/20,J319-P07,4/12/18,QF4360,,,,,11.5875,12.5482,0.9607,11.7511,0.1636,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/18/20,J319-P08,4/12/18,QF4358,,,,,11.4033,12.3158,0.9125,11.5672,0.1639,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,2/18/20,2/19/20,J319-P09,6/11/18,QF6105,,,,,11.7236,12.4589,0.7353,11.8686,0.145,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/19/20,J319-P10,6/18/18,QF6107,,,,,11.4344,12.2213,0.7869,11.5812,0.1468,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/19/20,J319-P11,6/18/18,QF6106,,,,,11.4092,12.1541,0.7449,11.5549,0.1457,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/19/20,J319-P12,6/26/18,QF6109,QF6108,,,,11.6228,13.1471,1.5243,11.915,0.2922,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/19/20,J319-P13,4/4/18,QF4348,QF4349,,,,11.7354,13.3574,1.622,12.0493,0.3139,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/19/20,J319-P14,3/27/18,QF4277,QF4278,,,,11.5982,13.411,1.8128,11.9265,0.3283,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/19/20,J319-P15,3/20/18,QF4242,QF4245,,,,11.4359,13.283,1.8471,11.7763,0.3404,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/19/20,J319-P16,7/11/18,QF6110,QF6111,,,,11.639,13.1568,1.5178,11.9278,0.2888,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/19/20,J319-P17,7/16/18,QF6114,QF6115,,,,11.4909,12.9558,1.4649,11.7787,0.2878,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/19/20,J319-P18,3/13/18,QF4220,,,,,11.5587,12.3452,0.7865,11.7135,0.1548,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/6/19,,,2/19/20,J319-P19,7/23/18,QF6116,,,,,11.4146,12.1414,0.7268,11.5586,0.144,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P20,5/2/18,QF4441,QF4442,,,,11.4501,13.0686,1.6185,11.7707,0.3206,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P21,5/8/18,QF4547,QF4548,,,,11.3296,12.9003,1.5707,11.625,0.2954,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P22,5/29/18,QF6102,QF6103,,,,11.5456,13.0217,1.4761,11.8364,0.2908,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P23,6/5/18,QF4558,QF6100,,,,11.6512,13.1397,1.4885,11.9431,0.2919,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P24,5/22/18,QF4555,QF4557,,,,11.5848,13.1329,1.5481,11.8745,0.2897,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P25,10/9/18,QF6142,QF6143,,,,11.4583,12.9928,1.5345,11.7499,0.2916,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P26,10/16/18,QF6144,QF6145,,,,11.6391,13.1952,1.5561,11.9343,0.2952,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P27,10/24/18,QF6148,QF6149,,,,11.6918,13.4205,1.7287,11.9906,0.2988,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P28,10/30/18,QF6150,QF6151,,,,11.4525,13.0195,1.567,11.744,0.2915,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P29,11/7/18,QF6152,QF6153,,,,11.4688,13.0047,1.5359,11.7603,0.2915,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P30,11/19/18,QF6158,QF6159,,,,11.6675,13.1845,1.517,11.962,0.2945,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P31,9/18/18,QF6136,QF6137,,,,11.492,13.0024,1.5104,11.7794,0.2874,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P32,9/25/18,QF6138,QF6139,,,,11.5301,13.1443,1.6142,11.8218,0.2917,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,12/3/19,J319-P33,11/28/18,QF6160,QF6161,,,,11.5136,13.2633,1.7497,11.8134,0.2998,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P34,9/4/18,QF6130,QF6131,,,,11.4966,13.0828,1.5862,11.7925,0.2959,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P35,8/29/18,QF6128,QF6129,,,,11.5954,13.2121,1.6167,11.8977,0.3023,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P36,9/13/18,QF6132,QF6133,,,,11.5601,13.0831,1.523,11.8489,0.2888,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P37,10/4/18,QF6140,QF6141,,,,11.6931,13.2354,1.5423,11.9866,0.2935,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P38,7/31/18,QF6118,QF6119,,,,11.6595,13.2067,1.5472,11.9493,0.2898,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P39,8/9/18,QF6120,QF6121,,,,11.6179,13.1206,1.5027,11.9061,0.2882,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P40,8/14/18,QF6124,QF6125,,,,11.8614,13.3973,1.5359,12.1532,0.2918,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,2/19/20,J319-P41,8/21/18,QF6126,QF6127,,,,11.443,12.8826,1.4396,11.7288,0.2858,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
"look at again, no EPA or DHA",6/10/19,,,12/3/19,J319-P42,1/3/18,QF4007,,,,,11.3514,12.127,0.7756,11.5022,0.1508,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,12/5/19,2/19/20,J319-P43,1/9/18,QF4014,,,,,11.3678,12.1648,0.797,11.5227,0.1549,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
"look at again, no EPA or DHA",6/10/19,,,12/3/19,J319-P44,1/22/18,QF4074,,,,,11.4231,12.2051,0.782,11.5772,0.1541,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,12/3/19,J319-P45,1/31/18,QF4075,,,,,11.7272,12.5058,0.7786,11.8805,0.1533,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,12/5/19,2/19/20,J319-P46,2/6/18,QF4072,,,,,11.3591,12.1016,0.7425,11.5106,0.1515,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,12/3/19,J319-P47,2/13/18,QF4073,,,,,11.8624,12.6435,0.7811,12.0153,0.1529,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,12/3/19,J319-P48,2/19/18,QF4204,,,,,11.5636,12.4035,0.8399,11.7231,0.1595,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,12/5/19,2/19/20,J319-P49,2/27/18,QF4085,,,,,11.7343,12.5309,0.7966,11.8895,0.1552,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,12/3/19,J319-P50,3/6/18,QF4087,,,,,11.5627,12.3358,0.7731,11.7168,0.1541,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,12/5/19,2/19/20,J319-P51,5/15/18,QF4554,,,,,11.5237,12.3151,0.7914,11.6712,0.1475,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,12/5/19,2/19/20,J319-P52,7/23/18,QF6117,,,,,11.6619,12.3921,0.7302,11.8066,0.1447,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,6/10/19,,,12/3/19,J319-P53,11/16/18,QF6155,,,,,11.558,12.2926,0.7346,11.702,0.144,,,,,,POM Master Sample List; pomQU39wvlfa-june3-19,Pom QU39-Tray1-A&B-Brian Hunt-UBC- June3/2019 WVLAB-FA
,,,,missing,P57,6/12/17,QF3342,QF3343,,,,11.6185,13.2151,1.5966,11.921,0.3025,,0.3025,18.94651134,81.05348866,2,POM Master Sample List,Sample Sheet
,6/5/18,5/30/18,12/5/19,no good run,P76,8/5/15,QF1172,QF1173,QF1174,,,11.7705,14.3145,2.544,12.2722,0.5017,,0.5017,19.72091195,80.27908805,3,POM Master Sample List,Sample Sheet
looks okay,5/30/18,,,5/30/18,POM-01,7/11/16,QF2006,QF1957,QF1958,QF2215,QF2147,,,4.1197,,2.0123,0.63496,1.37734,33.43301697,66.56698303,5,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-10,5/30/16,QF1679,QF1678,,,,,,1.646,,0.3143,,0.3143,19.09477521,80.90522479,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-11,8/22/16,QF2326,QF2325,,,,,,1.9579,,0.321,,0.321,16.39511722,83.60488278,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-12,10/2/16,QF2372,QF2371,,,,,,1.6591,,0.3114,,0.3114,18.76921222,81.23078778,2,POM Master Sample List,Sample Sheet
,5/30/18,6/5/18,5/30/18,6/12/18,POM-13,4/8/16,QF1503,QF1502,,,,,,1.8082,,0.3242,,0.3242,17.92943258,82.07056742,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-14,10/6/15,QF1206,QF1288,,,,,,1.6723,,0.3223,,0.3223,19.27285774,80.72714226,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-26,8/4/17,QF3608,QF3607,,,,11.4952,13.0149,1.5197,11.8004,0.3052,,0.3052,20.0829111,79.9170889,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-27,9/5/17,QF3693,QF3694,,,,11.6221,13.2762,1.6541,11.9346,0.3125,,0.3125,18.89244907,81.10755093,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-28,9/18/17,QF3747,QF3748,,,,11.5142,13.2187,1.7045,11.8339,0.3197,,0.3197,18.7562335,81.2437665,2,POM Master Sample List,Sample Sheet
,5/30/18,5/30/18,12/3/19,6/5/18,POM-30,7/11/17,QF3537,QF3536,,,,11.4538,12.8501,1.3963,11.754,0.3002,,0.3002,21.49967772,78.50032228,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-31,7/17/17,QF3542,QF3543,,,,11.7762,13.2137,1.4375,12.0755,0.2993,,0.2993,20.82086957,79.17913043,2,POM Master Sample List,Sample Sheet
,5/30/18,5/30/18,12/3/19,6/5/18,POM-32,8/15/17,QF3696,QF3695,,,,11.4599,13.1978,1.7379,11.7761,0.3162,,0.3162,18.19437252,81.80562748,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-33,7/7/17,QF3572,QF3571,,,,11.9023,13.477,1.5747,12.2083,0.306,,0.306,19.43227281,80.56772719,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-34,8/8/17,QF3615,QF3616,,,,11.7093,13.234,1.5247,12.0124,0.3031,,0.3031,19.87932052,80.12067948,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-35,8/29/17,QF3691,QF3692,,,,11.5345,13.0319,1.4974,11.8387,0.3042,,0.3042,20.31521304,79.68478696,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-36,1/15/17,QF2669,QF2670,,,,11.6981,13.2772,1.5791,12.0047,0.3066,,0.3066,19.41612311,80.58387689,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-37,12/15/16,QF2511,QF2538,,,,11.3814,12.9932,1.6118,11.6791,0.2977,,0.2977,18.4700335,81.5299665,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-38,10/11/17,QF3780,,,,,11.5925,12.4744,0.8819,11.7588,0.1663,,0.1663,18.85701327,81.14298673,1,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-39,10/24/17,QF3821,,,,,11.8809,12.6466,0.7657,12.0343,0.1534,,0.1534,20.03395586,79.96604414,1,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-40,9/26/17,QF3749,,,,,11.5271,12.3644,0.8373,11.688,0.1609,,0.1609,19.21652932,80.78347068,1,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-41,9/12/17,QF3746,QF3745,,,,11.6391,13.1386,1.4995,11.9532,0.3141,,0.3141,20.94698233,79.05301767,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-42,11/3/15,QF1205,,,,,11.6497,12.4714,0.8217,11.7853,0.1356,,0.1356,16.50237313,83.49762687,1,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-43,2/2/16,QF1603,,,,,11.5922,12.4248,0.8326,11.7383,0.1461,,0.1461,17.54744175,82.45255825,1,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-44,3/22/16,QF1652,,,,,11.6699,12.4629,0.793,11.8147,0.1448,,0.1448,18.25977301,81.74022699,1,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-45,5/9/16,QF1358,QF1708,,,,11.6801,13.572,1.8919,12.0011,0.321,,0.321,16.96707014,83.03292986,2,POM Master Sample List,Sample Sheet
,5/30/18,6/5/18,5/30/18,6/12/18,POM-46,2/23/16,QF1930,,,,,11.4215,12.2526,0.8311,11.5748,0.1533,,0.1533,18.44543376,81.55456624,1,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-47,2/16/16,QF1602,,,,,11.6628,12.347,0.68415,11.8186,0.1558,,0.1558,22.77278375,77.22721625,1,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-48,3/15/16,QF1601,,,,,11.8387,12.7544,0.9157,11.9961,0.1574,,0.1574,17.18903571,82.81096429,1,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-49,5/19/16,QF1785,QF1677,,,,11.5597,13.1596,1.5999,11.8667,0.307,,0.307,19.18869929,80.81130071,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-50,2/17/17,QF2684,QF2685,,,,11.7414,13.3959,1.6545,12.0473,0.3059,,0.3059,18.48896948,81.51103052,2,POM Master Sample List,Sample Sheet
