Measurement time,Year,Month,WaterYear,WindDirQuadraQ_level,WindDirQuadraQ_flags,WindDirQuadraUNESCO_Q_level,WindDirQuadraAvg,WindDirQuadraStd
2012-11-30 20:00:00,2012,Nov,2012-2013,1,,2,157.7,35.66
2012-11-30 21:00:00,2012,Nov,2012-2013,1,,2,156.1,35.59
2012-11-30 22:00:00,2012,Nov,2012-2013,1,,2,153,36.72
2012-11-30 23:00:00,2012,Nov,2012-2013,1,,2,153.8,35.62
2012-12-01 00:00:00,2012,Nov,2012-2013,1,,2,154.9,33.9
2012-12-01 01:00:00,2012,Dec,2012-2013,1,,2,157.2,38.77
2012-12-01 02:00:00,2012,Dec,2012-2013,1,,2,156.4,34.93
2012-12-01 03:00:00,2012,Dec,2012-2013,1,,2,154.9,36.26
2012-12-01 04:00:00,2012,Dec,2012-2013,1,,2,155.8,34.17
2012-12-01 05:00:00,2012,Dec,2012-2013,1,,2,155.3,36.36
2012-12-01 06:00:00,2012,Dec,2012-2013,1,,2,157,36.72
2012-12-01 07:00:00,2012,Dec,2012-2013,1,,2,164.4,43.55
2012-12-01 08:00:00,2012,Dec,2012-2013,1,,2,163.2,45.13
2012-12-01 09:00:00,2012,Dec,2012-2013,1,,2,161.9,43.56
2012-12-01 10:00:00,2012,Dec,2012-2013,1,,2,158.4,39.34
2012-12-01 11:00:00,2012,Dec,2012-2013,1,,2,156.7,43.95
2012-12-01 12:00:00,2012,Dec,2012-2013,1,,2,155,36.32
2012-12-01 13:00:00,2012,Dec,2012-2013,1,,2,160,38.78
2012-12-01 14:00:00,2012,Dec,2012-2013,1,,2,158.9,36.33
2012-12-01 15:00:00,2012,Dec,2012-2013,1,,2,150.1,35.68
2012-12-01 16:00:00,2012,Dec,2012-2013,1,,2,150.6,35.39
2012-12-01 17:00:00,2012,Dec,2012-2013,1,,2,145.7,29.52
2012-12-01 18:00:00,2012,Dec,2012-2013,1,,2,144.4,30.1
2012-12-01 19:00:00,2012,Dec,2012-2013,1,,2,149.5,35.12
2012-12-01 20:00:00,2012,Dec,2012-2013,1,,2,150.2,36.16
2012-12-01 21:00:00,2012,Dec,2012-2013,1,,2,156.1,37.2
2012-12-01 22:00:00,2012,Dec,2012-2013,1,,2,158.8,39.78
2012-12-01 23:00:00,2012,Dec,2012-2013,1,,2,150.4,32.85
2012-12-02 00:00:00,2012,Dec,2012-2013,1,,2,154.6,35.37
2012-12-02 01:00:00,2012,Dec,2012-2013,1,,2,144.7,29.22
2012-12-02 02:00:00,2012,Dec,2012-2013,1,,2,204.9,62.1
2012-12-02 03:00:00,2012,Dec,2012-2013,1,,2,258.3,17.8
2012-12-02 04:00:00,2012,Dec,2012-2013,1,,2,264,29.55
2012-12-02 05:00:00,2012,Dec,2012-2013,1,,2,273.2,22.71
2012-12-02 06:00:00,2012,Dec,2012-2013,1,,2,212.3,32.07
2012-12-02 07:00:00,2012,Dec,2012-2013,1,,2,242.2,25.59
2012-12-02 08:00:00,2012,Dec,2012-2013,1,,2,277.9,21.14
2012-12-02 09:00:00,2012,Dec,2012-2013,1,,2,275.5,37.7
2012-12-02 10:00:00,2012,Dec,2012-2013,1,,2,209.7,63.18
2012-12-02 11:00:00,2012,Dec,2012-2013,1,,2,131,14.2
2012-12-02 12:00:00,2012,Dec,2012-2013,1,,2,167.9,44.2
2012-12-02 13:00:00,2012,Dec,2012-2013,1,,2,120.1,35.88
2012-12-02 14:00:00,2012,Dec,2012-2013,1,,2,155.8,45.39
2012-12-02 15:00:00,2012,Dec,2012-2013,1,,2,160.2,39.31
2012-12-02 16:00:00,2012,Dec,2012-2013,1,,2,156,38.02
2012-12-02 17:00:00,2012,Dec,2012-2013,1,,2,158.2,39.97
2012-12-02 18:00:00,2012,Dec,2012-2013,1,,2,163.3,44.55
2012-12-02 19:00:00,2012,Dec,2012-2013,1,,2,185.1,42.46
2012-12-02 20:00:00,2012,Dec,2012-2013,1,,2,229.2,11.27
2012-12-02 21:00:00,2012,Dec,2012-2013,1,,2,262.4,37.01
2012-12-02 22:00:00,2012,Dec,2012-2013,1,,2,240.9,35.51
2012-12-02 23:00:00,2012,Dec,2012-2013,1,,2,242.4,33.35
2012-12-03 00:00:00,2012,Dec,2012-2013,1,,2,282.8,50.92
2012-12-03 01:00:00,2012,Dec,2012-2013,1,,2,160.2,59.54
2012-12-03 02:00:00,2012,Dec,2012-2013,1,,2,222.7,49.21
2012-12-03 03:00:00,2012,Dec,2012-2013,1,,2,243.1,58.53
2012-12-03 04:00:00,2012,Dec,2012-2013,1,,2,279.5,38.81
2012-12-03 05:00:00,2012,Dec,2012-2013,1,,2,302.7,27.58
2012-12-03 06:00:00,2012,Dec,2012-2013,1,,2,247.4,31.42
2012-12-03 07:00:00,2012,Dec,2012-2013,1,,2,249.6,33.23
2012-12-03 08:00:00,2012,Dec,2012-2013,1,,2,283,43.9
2012-12-03 09:00:00,2012,Dec,2012-2013,1,,2,235.4,38.29
2012-12-03 10:00:00,2012,Dec,2012-2013,1,,2,286.7,48.05
2012-12-03 11:00:00,2012,Dec,2012-2013,1,,2,251,62.93
2012-12-03 12:00:00,2012,Dec,2012-2013,1,,2,156.8,47.13
2012-12-03 13:00:00,2012,Dec,2012-2013,1,,2,160.6,38.81
2012-12-03 14:00:00,2012,Dec,2012-2013,1,,2,160.1,38.78
2012-12-03 15:00:00,2012,Dec,2012-2013,1,,2,156.8,37.53
2012-12-03 16:00:00,2012,Dec,2012-2013,1,,2,148.6,34.99
2012-12-03 17:00:00,2012,Dec,2012-2013,1,,2,151.4,35.2
2012-12-03 18:00:00,2012,Dec,2012-2013,1,,2,140.8,22.89
2012-12-03 19:00:00,2012,Dec,2012-2013,1,,2,142.8,23.24
2012-12-03 20:00:00,2012,Dec,2012-2013,1,,2,148.7,33.62
2012-12-03 21:00:00,2012,Dec,2012-2013,1,,2,152.1,35.93
2012-12-03 22:00:00,2012,Dec,2012-2013,1,,2,159.6,36.81
2012-12-03 23:00:00,2012,Dec,2012-2013,1,,2,150.3,34.5
2012-12-04 00:00:00,2012,Dec,2012-2013,1,,2,143.7,25.88
2012-12-04 01:00:00,2012,Dec,2012-2013,1,,2,141.1,26.44
2012-12-04 02:00:00,2012,Dec,2012-2013,1,,2,148.5,33.41
2012-12-04 03:00:00,2012,Dec,2012-2013,1,,2,155.7,35.54
2012-12-04 04:00:00,2012,Dec,2012-2013,1,,2,153.6,35.68
2012-12-04 05:00:00,2012,Dec,2012-2013,1,,2,154.6,34.16
2012-12-04 06:00:00,2012,Dec,2012-2013,1,,2,155.7,38.13
2012-12-04 07:00:00,2012,Dec,2012-2013,1,,2,154.9,57.3
2012-12-04 08:00:00,2012,Dec,2012-2013,1,,2,217.4,30.89
2012-12-04 09:00:00,2012,Dec,2012-2013,1,,2,228.8,26.53
2012-12-04 10:00:00,2012,Dec,2012-2013,1,,2,230.6,38.18
2012-12-04 11:00:00,2012,Dec,2012-2013,1,,2,256.6,53.94
2012-12-04 12:00:00,2012,Dec,2012-2013,1,,2,66.21,67.15
2012-12-04 13:00:00,2012,Dec,2012-2013,1,,2,237.2,54.26
2012-12-04 14:00:00,2012,Dec,2012-2013,1,,2,280.3,65.82
2012-12-04 15:00:00,2012,Dec,2012-2013,1,,2,199.4,52.58
2012-12-04 16:00:00,2012,Dec,2012-2013,1,,2,230.2,46.09
2012-12-04 17:00:00,2012,Dec,2012-2013,1,,2,166,50.08
2012-12-04 18:00:00,2012,Dec,2012-2013,1,,2,169.5,43.89
2012-12-04 19:00:00,2012,Dec,2012-2013,1,,2,203.5,55.53
2012-12-04 20:00:00,2012,Dec,2012-2013,1,,2,267,51.5
2012-12-04 21:00:00,2012,Dec,2012-2013,1,,2,273.8,41.14
2012-12-04 22:00:00,2012,Dec,2012-2013,1,,2,252.5,60.31
2012-12-04 23:00:00,2012,Dec,2012-2013,1,,2,230.6,61.21
2012-12-05 00:00:00,2012,Dec,2012-2013,1,,2,258.4,52.14
2012-12-05 01:00:00,2012,Dec,2012-2013,1,,2,268.3,41.17
2012-12-05 02:00:00,2012,Dec,2012-2013,1,,2,228.9,22.82
2012-12-05 03:00:00,2012,Dec,2012-2013,1,,2,229.6,26.97
2012-12-05 04:00:00,2012,Dec,2012-2013,1,,2,288.1,31.04
2012-12-05 05:00:00,2012,Dec,2012-2013,1,,2,288,30.71
2012-12-05 06:00:00,2012,Dec,2012-2013,1,,2,262.5,35
2012-12-05 07:00:00,2012,Dec,2012-2013,1,,2,279,39.74
2012-12-05 08:00:00,2012,Dec,2012-2013,1,,2,213.9,35.79
2012-12-05 09:00:00,2012,Dec,2012-2013,1,,2,273.7,33.97
2012-12-05 10:00:00,2012,Dec,2012-2013,1,,2,303.3,14.69
2012-12-05 11:00:00,2012,Dec,2012-2013,1,,2,251.8,38.32
2012-12-05 12:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-05 13:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-05 14:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-05 15:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-05 16:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-05 17:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-05 18:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-05 19:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-05 20:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-05 21:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-05 22:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-05 23:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 00:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 01:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 02:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 03:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 04:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 05:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 06:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 07:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 08:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 09:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 10:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 11:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 12:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 13:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 14:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 15:00:00,2012,Dec,2012-2013,1,,2,11.04,0.105
2012-12-06 16:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 17:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 18:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 19:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 20:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 21:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 22:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-06 23:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 00:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 01:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 02:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 03:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 04:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 05:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 06:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 07:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 08:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 09:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 10:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 11:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 12:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 13:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 14:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 15:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 16:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 17:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 18:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 19:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 20:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 21:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 22:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-07 23:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 00:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 01:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 02:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 03:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 04:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 05:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 06:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 07:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 08:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 09:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 10:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 11:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 12:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 13:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 14:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 15:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 16:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 17:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 18:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 19:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 20:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 21:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 22:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-08 23:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 00:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 01:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 02:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 03:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 04:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 05:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 06:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 07:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 08:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 09:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 10:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 11:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 12:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 13:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 14:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 15:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 16:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 17:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 18:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 19:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 20:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 21:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 22:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-09 23:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 00:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 01:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 02:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 03:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 04:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 05:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 06:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 07:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 08:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 09:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 10:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 11:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 12:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 13:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 14:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 15:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 16:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 17:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 18:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 19:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 20:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 21:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 22:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-10 23:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 00:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 01:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 02:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 03:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 04:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 05:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 06:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 07:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 08:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 09:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 10:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 11:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 12:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 13:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 14:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 15:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 16:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 17:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 18:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 19:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 20:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 21:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 22:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-11 23:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 00:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 01:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 02:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 03:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 04:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 05:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 06:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 07:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 08:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 09:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 10:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 11:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 12:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 13:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 14:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 15:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 16:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 17:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 18:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 19:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 20:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 21:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 22:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-12 23:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 00:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 01:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 02:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 03:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 04:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 05:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 06:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 07:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 08:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 09:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 10:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 11:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 12:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 13:00:00,2012,Dec,2012-2013,1,,9,,
2012-12-13 14:00:00,2012,Dec,2012-2013,1,,2,55.92,11.35
2012-12-13 15:00:00,2012,Dec,2012-2013,1,,2,135.6,11.98
2012-12-13 16:00:00,2012,Dec,2012-2013,1,,2,140.9,21.68
2012-12-13 17:00:00,2012,Dec,2012-2013,1,,2,135.9,13.69
2012-12-13 18:00:00,2012,Dec,2012-2013,1,,2,138,21.17
2012-12-13 19:00:00,2012,Dec,2012-2013,1,,2,135.9,14.82
2012-12-13 20:00:00,2012,Dec,2012-2013,1,,2,118.1,28.09
2012-12-13 21:00:00,2012,Dec,2012-2013,1,,2,23.06,39.52
2012-12-13 22:00:00,2012,Dec,2012-2013,1,,2,320.4,43
2012-12-13 23:00:00,2012,Dec,2012-2013,1,,2,288.8,30.44
2012-12-14 00:00:00,2012,Dec,2012-2013,1,,2,240.8,50.19
2012-12-14 01:00:00,2012,Dec,2012-2013,1,,2,262.5,68.67
2012-12-14 02:00:00,2012,Dec,2012-2013,1,,2,192.3,57.68
2012-12-14 03:00:00,2012,Dec,2012-2013,1,,2,226.4,35.24
2012-12-14 04:00:00,2012,Dec,2012-2013,1,,2,273.9,67.47
2012-12-14 05:00:00,2012,Dec,2012-2013,1,,2,257.2,54.55
2012-12-14 06:00:00,2012,Dec,2012-2013,1,,2,315.4,23.68
2012-12-14 07:00:00,2012,Dec,2012-2013,1,,2,200.6,57.53
