action,event_pk,rn,is_replicate,date,work_area,organization,survey,sampling_bout,site_id,project_specific_id,hakai_id,source,lat,long,gather_lat,gather_long,collection_method,line_out_depth,pressure_transducer_depth,Filtered,filter_type,volume,installed,collected,preserved,analyzed,lab_technician,nh4_,no2_no3_um,no2_no3_ugl,tp,tdp,tn,tdn,srp,po4,sio2,po4pfilt,no3nfilt,po4punfl,no3nunfl,nh4nunfl,nh4__flag,no2_no3_flag,tp_flag,tdp_flag,tn_flag,tdn_flag,srp_flag,po4_flag,sio2_flag,po4pfilt_flag,no3nfilt_flag,po4punfl_flag,no3nunfl_flag,nh4nunfl_flag,analyzing_lab,metadata_qc_flag,comments,quality_log,no2_no3_units,Sample Status,quality_level
,81,1,,1/13/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT198,QNUT198,M,50.03,-125.08,,,,50,,,0.45nm,13,,1/13/15 8:54,1/13/15 12:45,5/11/15 0:00,,,30.001,,,,,,,2.570298175,56.25906499,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,81,1,,1/13/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT199,QNUT199,M,50.03,-125.08,,,,100,,,0.45nm,13,,1/13/15 8:54,1/13/15 12:45,5/11/15 0:00,,,30.218,,,,,,,2.553805159,50.94513232,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,81,1,,1/13/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT200,QNUT200,M,50.03,-125.08,,,,240,,,0.45nm,13,,1/13/15 8:54,1/13/15 12:45,5/11/15 0:00,,,32.022,,,,,,,2.943716226,71.20010638,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,93,1,,1/21/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT211,QNUT211,M,50.03,-125.08,,,,0,,,0.45nm,13,,1/21/15 9:13,1/21/15 15:48,5/13/15 0:00,,,26.8008661,,,,,,,2.201031425,53.5571106,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,93,1,,1/21/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT212,QNUT212,M,50.03,-125.08,,,,5,,,0.45nm,13,,1/21/15 9:13,1/21/15 15:48,5/13/15 0:00,,,26.55858194,,,,,,,2.206639514,48.38874265,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,93,1,,1/21/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT213,QNUT213,M,50.03,-125.08,,,,10,,,0.45nm,13,,1/21/15 9:13,1/21/15 15:48,5/13/15 0:00,,,26.73919727,,,,,,,2.225428845,48.7935681,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,93,1,,1/21/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT214,QNUT214,M,50.03,-125.08,,,,30,,,0.45nm,13,,1/21/15 9:13,1/21/15 15:48,5/13/15 0:00,,,28.33411984,,,,,,,2.358371174,53.21515897,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,93,1,,1/21/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT215,QNUT215,M,50.03,-125.08,,,,50,,,0.45nm,13,,1/21/15 9:13,1/21/15 15:48,5/13/15 0:00,,,16.5011373,,,,,,,1.779937515,36.01618959,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,93,1,,1/21/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT216,QNUT216,M,50.03,-125.08,,,,100,,,0.45nm,13,,1/21/15 9:13,1/21/15 15:48,5/13/15 0:00,,,18.79448052,,,,,,,1.980081776,38.01366568,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,93,1,,1/21/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT217,QNUT217,M,50.03,-125.08,,,,240,,,0.45nm,13,,1/21/15 9:13,1/21/15 15:48,5/13/15 0:00,,,23.26330213,,,,,,,2.445095808,55.93332161,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,149,1,,1/28/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT228,QNUT228,M,50.03,-125.08,,,,0,,,0.45nm,13,,1/28/15 8:52,1/28/15 13:12,5/13/15 0:00,,,27.51080616,,,,,,,2.251139994,54.53862364,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,149,1,,1/28/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT229,QNUT229,M,50.03,-125.08,,,,5,,,0.45nm,13,,1/28/15 8:52,1/28/15 13:12,5/13/15 0:00,,,27.7874643,,,,,,,2.247596678,54.45530537,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,149,1,,1/28/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT230,QNUT230,M,50.03,-125.08,,,,10,,,0.45nm,13,,1/28/15 8:52,1/28/15 13:12,5/13/15 0:00,,,28.78117444,,,,,,,2.266304603,52.30692221,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,149,1,,1/28/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT231,QNUT231,M,50.03,-125.08,,,,30,,,0.45nm,13,,1/28/15 8:52,1/28/15 13:12,5/13/15 0:00,,,27.5233061,,,,,,,2.3094068,55.08043616,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,149,1,,1/28/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT232,QNUT232,M,50.03,-125.08,,,,50,,,0.45nm,13,,1/28/15 8:52,1/28/15 13:12,5/13/15 0:00,,,29.39070139,,,,,,,2.485812638,57.57729921,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,149,1,,1/28/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT233,QNUT233,M,50.03,-125.08,,,,100,,,0.45nm,13,,1/28/15 8:52,1/28/15 13:12,5/13/15 0:00,,,29.93947237,,,,,,,2.586366046,56.88754523,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,149,1,,1/28/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT234,QNUT234,M,50.03,-125.08,,,,240,,,0.45nm,13,,1/28/15 8:52,1/28/15 13:12,5/13/15 0:00,,,30.81590564,,,,,,,2.919873208,70.35386874,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,160,1,,2/3/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT245,QNUT245,M,50.03,-125.08,,,,0,,,0.45nm,13,,2/3/15 9:29,2/3/15 11:29,5/11/15 0:00,,,26.065,,,,,,,2.191857514,50.18886196,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,160,1,,2/3/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT246,QNUT246,M,50.03,-125.08,,,,5,,,0.45nm,13,,2/3/15 9:29,2/3/15 11:29,5/11/15 0:00,,,27.112,,,,,,,2.229022198,52.46647573,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,160,1,,2/3/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT247,QNUT247,M,50.03,-125.08,,,,10,,,0.45nm,13,,2/3/15 9:29,2/3/15 11:29,5/11/15 0:00,,,27.677,,,,,,,2.291129455,53.75869187,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,160,1,,2/3/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT248,QNUT248,M,50.03,-125.08,,,,30,,,0.45nm,13,,2/3/15 9:29,2/3/15 11:29,5/11/15 0:00,,,29.209,,,,,,,2.419482317,54.80254066,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,160,1,,2/3/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT249,QNUT249,M,50.03,-125.08,,,,50,,,0.45nm,13,,2/3/15 9:29,2/3/15 11:29,5/11/15 0:00,,,29.664,,,,,,,2.539892521,57.49320806,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,160,1,,2/3/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT250,QNUT250,M,50.03,-125.08,,,,100,,,0.45nm,13,,2/3/15 9:29,2/3/15 11:29,5/11/15 0:00,,,30.348,,,,,,,2.588203919,54.74964962,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,160,1,,2/3/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,QNUT251,QNUT251,M,50.03,-125.08,,,,240,,,0.45nm,13,,2/3/15 9:29,2/3/15 11:29,5/11/15 0:00,,,32.074,,,,,,,2.960977875,71.68206776,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,173,1,,2/11/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT268,QNUT268,M,50.03,-125.08,,,,0,,,0.45nm,13,,2/11/15 9:43,2/11/15 9:43,5/21/15 0:00,"Bryn,Katie,Rebecca",,27.47580713,,,,,,,1.982,48.35438138,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,173,1,,2/11/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT263,QNUT263,M,50.03,-125.08,,,,5,,,0.45nm,13,,2/11/15 9:43,2/11/15 9:43,5/21/15 0:00,"Bryn,Katie,Rebecca",,27.10294342,,,,,,,1.97,49.92466563,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,173,1,,2/11/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT264,QNUT264,M,50.03,-125.08,,,,10,,,0.45nm,13,,2/11/15 9:43,2/11/15 9:43,5/21/15 0:00,"Bryn,Katie,Rebecca",,27.90621526,,,,,,,2.091,50.26528066,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,173,1,,2/11/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT265,QNUT265,M,50.03,-125.08,,,,30,,,0.45nm,13,,2/11/15 9:43,2/11/15 9:43,5/21/15 0:00,"Bryn,Katie,Rebecca",,28.90843383,,,,,,,2.14,48.82156915,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,173,1,,2/11/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT266,QNUT266,M,50.03,-125.08,,,,50,,,0.45nm,13,,2/11/15 9:43,2/11/15 9:43,5/21/15 0:00,"Bryn,Katie,Rebecca",,29.57451286,,,,,,,2.228,50.62461643,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,173,1,,2/11/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT267,QNUT267,M,50.03,-125.08,,,,100,,,0.45nm,13,,2/11/15 9:43,2/11/15 9:43,5/21/15 0:00,"Bryn,Katie,Rebecca",,29.07922552,,,,,,,2.188,49.8784591,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,173,1,,2/11/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT262,QNUT262,M,50.03,-125.08,,,,240,,,0.45nm,13,,2/11/15 9:43,2/11/15 9:43,5/21/15 0:00,"Bryn,Katie,Rebecca",,32.87424541,,,,,,,2.749,63.35515818,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,200,1,,2/18/15,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,QNUT279,QNUT279,M,50.03,-125.08,,,,0,,,0.45nm,13,,2/18/15 9:31,2/18/15 9:30,5/21/15 0:00,"Kate,Rebecca",,24.40479324,,,,,,,1.741,49.37057379,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: TRIAL RUN FOR QOMA1,2

MICROBIAL: Four cell counts were taken for each depth at station QU24. Duplicates for 1 mL and 2 mL of sample were taken both with 40 uL of Gluteraldehyde.


POP DATA:
Surface-QF226 (990 ml) 
5-QF227 (1000 ml)
10-QF228 (1000 ml)
30-QF229 (1000 ml)
100-QF230 (1000ml)
240-QF231 (1000ml)

HPLC: volumes are approximate, filters not blotted before freezing",uM,Results,Technicianm
,200,1,,2/18/15,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,QNUT280,QNUT280,M,50.03,-125.08,,,,5,,,0.45nm,13,,2/18/15 9:31,2/18/15 9:30,5/21/15 0:00,"Kate,Rebecca",,25.24585427,,,,,,,1.817,50.03699157,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: TRIAL RUN FOR QOMA1,2

MICROBIAL: Four cell counts were taken for each depth at station QU24. Duplicates for 1 mL and 2 mL of sample were taken both with 40 uL of Gluteraldehyde.


POP DATA:
Surface-QF226 (990 ml) 
5-QF227 (1000 ml)
10-QF228 (1000 ml)
30-QF229 (1000 ml)
100-QF230 (1000ml)
240-QF231 (1000ml)

HPLC: volumes are approximate, filters not blotted before freezing",uM,Results,Technicianm
,200,1,,2/18/15,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,QNUT281,QNUT281,M,50.03,-125.08,,,,10,,,0.45nm,13,,2/18/15 9:31,2/18/15 9:30,5/21/15 0:00,"Kate,Rebecca",,27.56078788,,,,,,,2.062,53.18986748,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: TRIAL RUN FOR QOMA1,2

MICROBIAL: Four cell counts were taken for each depth at station QU24. Duplicates for 1 mL and 2 mL of sample were taken both with 40 uL of Gluteraldehyde.


POP DATA:
Surface-QF226 (990 ml) 
5-QF227 (1000 ml)
10-QF228 (1000 ml)
30-QF229 (1000 ml)
100-QF230 (1000ml)
240-QF231 (1000ml)

HPLC: volumes are approximate, filters not blotted before freezing",uM,Results,Technicianm
,200,1,,2/18/15,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,QNUT282,QNUT282,M,50.03,-125.08,,,,30,,,0.45nm,13,,2/18/15 9:31,2/18/15 9:30,5/21/15 0:00,"Kate,Rebecca",,29.64395252,,,,,,,2.341,53.55122195,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: TRIAL RUN FOR QOMA1,2

MICROBIAL: Four cell counts were taken for each depth at station QU24. Duplicates for 1 mL and 2 mL of sample were taken both with 40 uL of Gluteraldehyde.


POP DATA:
Surface-QF226 (990 ml) 
5-QF227 (1000 ml)
10-QF228 (1000 ml)
30-QF229 (1000 ml)
100-QF230 (1000ml)
240-QF231 (1000ml)

HPLC: volumes are approximate, filters not blotted before freezing",uM,Results,Technicianm
,200,1,,2/18/15,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,QNUT283,QNUT283,M,50.03,-125.08,,,,50,,,0.45nm,13,,2/18/15 9:31,2/18/15 9:30,5/21/15 0:00,"Kate,Rebecca",,30.40151582,,,,,,,2.418,54.25154195,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: TRIAL RUN FOR QOMA1,2

MICROBIAL: Four cell counts were taken for each depth at station QU24. Duplicates for 1 mL and 2 mL of sample were taken both with 40 uL of Gluteraldehyde.


POP DATA:
Surface-QF226 (990 ml) 
5-QF227 (1000 ml)
10-QF228 (1000 ml)
30-QF229 (1000 ml)
100-QF230 (1000ml)
240-QF231 (1000ml)

HPLC: volumes are approximate, filters not blotted before freezing",uM,Results,Technicianm
,200,1,,2/18/15,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,QNUT284,QNUT284,M,50.03,-125.08,,,,100,,,0.45nm,13,,2/18/15 9:31,2/18/15 9:30,5/21/15 0:00,"Kate,Rebecca",,30.90773848,,,,,,,2.398,51.68345317,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: TRIAL RUN FOR QOMA1,2

MICROBIAL: Four cell counts were taken for each depth at station QU24. Duplicates for 1 mL and 2 mL of sample were taken both with 40 uL of Gluteraldehyde.


POP DATA:
Surface-QF226 (990 ml) 
5-QF227 (1000 ml)
10-QF228 (1000 ml)
30-QF229 (1000 ml)
100-QF230 (1000ml)
240-QF231 (1000ml)

HPLC: volumes are approximate, filters not blotted before freezing",uM,Results,Technicianm
,200,1,,2/18/15,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,QNUT285,QNUT285,M,50.03,-125.08,,,,240,,,0.45nm,13,,2/18/15 9:31,2/18/15 9:30,5/21/15 0:00,"Kate,Rebecca",,32.81484551,,,,,,,2.717,67.54237988,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: TRIAL RUN FOR QOMA1,2

MICROBIAL: Four cell counts were taken for each depth at station QU24. Duplicates for 1 mL and 2 mL of sample were taken both with 40 uL of Gluteraldehyde.


POP DATA:
Surface-QF226 (990 ml) 
5-QF227 (1000 ml)
10-QF228 (1000 ml)
30-QF229 (1000 ml)
100-QF230 (1000ml)
240-QF231 (1000ml)

HPLC: volumes are approximate, filters not blotted before freezing",uM,Results,Technicianm
,188,1,,2/24/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT339,QNUT339,M,50.03,-125.08,,,,0,,,0.45nm,13,,2/24/15 9:00,2/24/15 15:31,5/21/15 0:00,"Kate,Katie,Midoli,Rebecca",,0.4541443,,,,,,,0.177,21.89238574,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom",uM,Results,Technicianm
,188,1,,2/24/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT340,QNUT340,M,50.03,-125.08,,,,5,,,0.45nm,13,,2/24/15 9:00,2/24/15 15:31,5/21/15 0:00,"Kate,Katie,Midoli,Rebecca",,0.496465819,,,,,,,0.219,22.70487835,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom",uM,Results,Technicianm
,188,1,,2/24/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT341,QNUT341,M,50.03,-125.08,,,,10,,,0.45nm,13,,2/24/15 9:00,2/24/15 15:31,5/21/15 0:00,"Kate,Katie,Midoli,Rebecca",,27.91161584,,,,,,,2.065,52.67735329,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom",uM,Results,Technicianm
,188,1,,2/24/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT342,QNUT342,M,50.03,-125.08,,,,30,,,0.45nm,13,,2/24/15 9:00,2/24/15 15:31,5/21/15 0:00,"Kate,Katie,Midoli,Rebecca",,30.28850985,,,,,,,2.271,55.8049567,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom",uM,Results,Technicianm
,188,1,,2/24/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT343,QNUT343,M,50.03,-125.08,,,,50,,,0.45nm,13,,2/24/15 9:00,2/24/15 15:31,5/21/15 0:00,"Kate,Katie,Midoli,Rebecca",,30.43125531,,,,,,,2.26,52.74903992,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom",uM,Results,Technicianm
,188,1,,2/24/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT344,QNUT344,M,50.03,-125.08,,,,100,,,0.45nm,13,,2/24/15 9:00,2/24/15 15:31,5/21/15 0:00,,,30.95872822,,,,,,,2.342,53.78727245,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Depths are not accurate. Phyto bloom2: ID not entered in iPad, retrieved from inventory3: ID not entered in iPad, retrieved from inventory. Checked by KP",uM,Results,Technicianm
,188,1,,2/24/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT345,QNUT345,M,50.03,-125.08,,,,240,,,0.45nm,13,,2/24/15 9:00,2/24/15 15:31,5/21/15 0:00,"Kate,Katie,Midoli,Rebecca",,32.77830286,,,,,,,2.822,76.90656132,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom",uM,Results,Technicianm
,292,1,,3/4/15,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,QNUT346,QNUT346,M,50.03,-125.08,50.11505,-125.22168,,0,,,0.45nm,13,,3/4/15 9:45,3/4/15 15:40,5/15/15 0:00,"Katie,Leo,Rebecca",,0.344613618,,,,,,,0.157908656,9.520947598,,,,,,,,,,,,,,,,,,,,UBC,,,"1: Checked by KP2: Forgot to rinse tube.",uM,Results,Technicianm
,292,1,,3/4/15,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,QNUT347,QNUT347,M,50.03,-125.08,50.11505,-125.22168,,5,,,0.45nm,13,,3/4/15 9:45,3/4/15 15:40,5/15/15 0:00,"Katie,Leo,Rebecca",,3.418230924,,,,,,,0.445732315,15.0454423,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,292,1,,3/4/15,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,QNUT348,QNUT348,M,50.03,-125.08,50.11505,-125.22168,,10,,,0.45nm,13,,3/4/15 9:45,3/4/15 15:40,5/15/15 0:00,"Katie,Leo,Rebecca",,20.54731139,,,,,,,1.647973906,40.27014223,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,292,1,,3/4/15,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,QNUT349,QNUT349,M,50.03,-125.08,50.11505,-125.22168,,30,,,0.45nm,13,,3/4/15 9:45,3/4/15 15:40,5/15/15 0:00,"Katie,Leo,Rebecca",,25.48848523,,,,,,,1.986719107,48.48159357,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,292,1,,3/4/15,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,QNUT350,QNUT350,M,50.03,-125.08,50.11505,-125.22168,,50,,,0.45nm,13,,3/4/15 9:45,3/4/15 15:40,5/15/15 0:00,"Katie,Leo,Rebecca",,28.44972207,,,,,,,2.218520655,54.11045821,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,292,1,,3/4/15,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,QNUT351,QNUT351,M,50.03,-125.08,50.11505,-125.22168,,100,,,0.45nm,13,,3/4/15 9:45,3/4/15 15:40,5/15/15 0:00,"Katie,Leo,Rebecca",,29.76048139,,,,,,,2.335339592,51.6821181,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
