ACTION,event_pk,Replicate Number,Date,Work Area,Organization,Survey,Sampling Bout,Site ID,Project Specific ID,Hakai ID,Source,Lat,Long,Gather Lat,Gather Long,Mesh Size (um),Net Dim. (cm),Net Length (cm),Line Out Depth,Pressure Transducer Depth (m),Sample Style,Volume (ml),Lugols,Collected,Preserved,Analyzed,Lab Technician,Analyzing Lab,Comments,Quality Log,Sample Status,Quality Level
,531,1,2015-03-31,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY18,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-03-31 08:57:34,2015-03-31 12:01:00,,"Katie,Other",,,"1: Ctd only dropped to 165m2: Sent to Microthalassia at VIU",Submitted,Raw
,531,1,2015-03-31,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY19,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-03-31 08:57:34,2015-03-31 12:01:00,,"Katie,Other",,,1: Ctd only dropped to 165m,Collected,Raw
,531,1,2015-03-31,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY20,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-03-31 08:57:34,2015-03-31 12:01:00,,"Katie,Other",,,1: Ctd only dropped to 165m,Collected,Raw
,614,1,2015-04-06,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY21,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-04-06 08:44:21,2015-04-06 13:45:38,,"Leo,Rebecca,Other",,,,Collected,Raw
,614,1,2015-04-06,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY22,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-04-06 08:44:21,2015-04-06 13:45:38,,"Leo,Rebecca,Other",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,614,1,2015-04-06,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY23,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-04-06 08:44:21,2015-04-06 13:45:38,,"Leo,Rebecca,Other",,,,Collected,Raw
,614,1,2015-04-06,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY24,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-04-06 08:44:21,2015-04-06 13:45:38,,"Leo,Rebecca,Other",,,,Collected,Raw
,890,1,2015-04-22,QUADRA,HAKAI,"QOMA1,QOMA2,QOMA",1,QU39,,QPHY25,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-04-22 08:24:33,2015-04-22 11:10:52,,"Kate,Katie",,,1: Sent to Microthalassia at VIU,Results,Raw
,890,1,2015-04-22,QUADRA,HAKAI,"QOMA1,QOMA2,QOMA",1,QU39,,QPHY26,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-04-22 08:24:33,2015-04-22 11:10:52,,"Kate,Katie",,,1: Sent to Microthalassia at VIU,Results,Raw
,890,1,2015-04-22,QUADRA,HAKAI,"QOMA1,QOMA2,QOMA",1,QU39,,QPHY27,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-04-22 08:24:33,2015-04-22 11:10:52,,"Kate,Katie",,,1: Sent to Microthalassia at VIU,Results,Raw
,890,1,2015-04-22,QUADRA,HAKAI,"QOMA1,QOMA2,QOMA",1,QU39,,QPHY28,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-04-22 08:24:33,2015-04-22 11:10:52,,"Kate,Katie",,,1: Sent to Microthalassia at VIU,Results,Raw
,1077,1,2015-05-01,QUADRA,HAKAI,"QOMA2,QOMA1",1,QU39,,QPHY33,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-05-01 07:32:56,2015-05-01 07:32:59,,"Kate,Katie,Other",,,,Collected,Raw
,1077,1,2015-05-01,QUADRA,HAKAI,"QOMA2,QOMA1",1,QU39,,QPHY34,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-05-01 07:32:56,2015-05-01 07:32:59,,"Kate,Katie,Other",,,1: Sent to Microthalassia at VIU,Results,Raw
,1077,1,2015-05-01,QUADRA,HAKAI,"QOMA2,QOMA1",1,QU39,,QPHY35,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-05-01 07:32:56,2015-05-01 07:32:59,,"Kate,Katie,Other",,,1: Sample collected from separate niskin,Collected,Raw
,1077,1,2015-05-01,QUADRA,HAKAI,"QOMA2,QOMA1",1,QU39,,QPHY36,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-05-01 07:32:56,2015-05-01 07:32:59,,"Kate,Katie,Other",,,,Collected,Raw
,1134,1,2015-05-05,QUADRA,HAKAI,"QOMA2,QOMA1",1,QU39,,QPHY37,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-05-05 07:51:55,2015-05-05 10:20:46,,Other,,,1: Sent to Microthalassia at VIU,Submitted,Raw
,1134,1,2015-05-05,QUADRA,HAKAI,"QOMA2,QOMA1",1,QU39,,QPHY38,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-05-05 07:51:55,2015-05-05 10:20:46,,Other,,,1: Sent to Microthalassia at VIU,Results,Raw
,1134,1,2015-05-05,QUADRA,HAKAI,"QOMA2,QOMA1",1,QU39,,QPHY39,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-05-05 07:51:55,2015-05-05 10:20:46,,Other,,,,Collected,Raw
,1134,1,2015-05-05,QUADRA,HAKAI,"QOMA2,QOMA1",1,QU39,,QPHY40,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-05-05 07:51:55,2015-05-05 10:20:46,,Other,,,,Collected,Raw
,1341,1,2015-05-21,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY45,M,50.0307,-125.0992,,,,,,0,,Grab Sample,250,TRUE,2015-05-21 07:46:54,2015-05-21 11:46:55,,"Katie,Rebecca,Other",,,1: Sent to Microthalassia at VIU,Results,Raw
,1341,1,2015-05-21,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY46,M,50.0307,-125.0992,,,,,,5,,Grab Sample,250,TRUE,2015-05-21 07:46:54,2015-05-21 11:46:55,,"Katie,Rebecca,Other",,,1: Sent to Microthalassia at VIU,Results,Raw
,1341,1,2015-05-21,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY47,M,50.0307,-125.0992,,,,,,10,,Grab Sample,250,TRUE,2015-05-21 07:46:54,2015-05-21 11:46:55,,"Katie,Rebecca,Other",,,1: Sent to Microthalassia at VIU,Results,Raw
,1341,1,2015-05-21,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY48,M,50.0307,-125.0992,,,,,,30,,Grab Sample,250,TRUE,2015-05-21 07:46:54,2015-05-21 11:46:55,,"Katie,Rebecca,Other",,,1: Sent to Microthalassia at VIU,Results,Raw
,1545,1,2015-06-03,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY53,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-06-03 07:10:05,2015-06-03 13:30:23,,"Natalie,Rebecca,Other",,,,Collected,Raw
,1545,1,2015-06-03,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY54,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-06-03 07:10:05,2015-06-03 13:30:23,,"Natalie,Rebecca,Other",,,1: Sent to Microthalassia at VIU,Results,Raw
,1545,1,2015-06-03,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY55,M,50.0307,-125.0992,,,,,,10,,Grab Sample,0,FALSE,2015-06-03 07:10:05,2015-06-03 13:30:23,,"Natalie,Rebecca,Other",,,1: Sample spilt,Collected,Raw
,1545,1,2015-06-03,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY56,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-06-03 07:10:05,2015-06-03 13:30:23,,"Natalie,Rebecca,Other",,,,Collected,Raw
,1733,1,2015-06-15,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU39,,QPHY57,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-06-15 06:51:34,2015-06-15 10:51:26,,"Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Results,Raw
,1733,1,2015-06-15,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU39,,QPHY58,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-06-15 06:51:34,2015-06-15 10:51:26,,"Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,1733,1,2015-06-15,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU39,,QPHY59,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-06-15 06:51:34,2015-06-15 10:51:26,,"Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,1733,1,2015-06-15,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU39,,QPHY60,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,FALSE,2015-06-15 06:51:34,2015-06-15 10:51:26,,"Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,1842,1,2015-06-24,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,,QPHY61,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,FALSE,2015-06-24 08:51:20,2015-06-24 12:37:20,,"Kate,Rebecca",,,,Collected,Raw
,1842,1,2015-06-24,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,,QPHY62,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,FALSE,2015-06-24 08:51:20,2015-06-24 12:37:20,,"Kate,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,1842,1,2015-06-24,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,,QPHY63,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,FALSE,2015-06-24 08:51:20,2015-06-24 12:37:20,,"Kate,Rebecca",,,,Collected,Raw
,1842,1,2015-06-24,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,,QPHY64,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,FALSE,2015-06-24 08:51:20,2015-06-24 12:37:20,,"Kate,Rebecca",,,,Collected,Raw
,2194,1,2015-07-07,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY69,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-07-07 06:47:54,2015-07-07 07:14:34,,"Natalie,Rebecca",,,1: Sent for analysis to Lou Hobson 2018-10-11,Submitted,Raw
,2194,1,2015-07-07,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY70,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-07-07 06:47:54,2015-07-07 07:14:34,,"Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,2194,1,2015-07-07,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY71,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-07-07 06:47:54,2015-07-07 07:14:34,,"Natalie,Rebecca",,,,Collected,Raw
,2194,1,2015-07-07,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY72,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-07-07 06:47:54,2015-07-07 07:14:34,,"Natalie,Rebecca",,,,Collected,Raw
,2360,1,2015-07-22,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,,QPHY147,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-07-22 10:05:15,2015-07-22 13:04:30,,"Kate,Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,2360,1,2015-07-22,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,,QPHY148,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-07-22 10:05:15,2015-07-22 13:04:30,,"Kate,Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,2360,1,2015-07-22,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,,QPHY149,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-07-22 10:05:15,2015-07-22 13:04:30,,"Kate,Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,2360,1,2015-07-22,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,,QPHY150,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-07-22 10:05:15,2015-07-22 13:04:30,,"Kate,Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,2510,1,2015-07-28,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU39,,QPHY157,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-07-28 09:37:45,2015-07-28 13:24:40,,"Kate,Natalie,Rebecca",,,1: Sent for analysis to Lou Hobson 2018-10-11,Submitted,Raw
,2510,1,2015-07-28,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU39,,QPHY158,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-07-28 09:49:30,2015-07-28 13:24:40,,"Kate,Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,2510,1,2015-07-28,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU39,,QPHY159,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-07-28 09:49:30,2015-07-28 13:24:40,,"Kate,Natalie,Rebecca",,,,Not Available,Raw
,2510,1,2015-07-28,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU39,,QPHY160,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-07-28 09:49:30,2015-07-28 13:24:40,,"Kate,Natalie,Rebecca",,,,Not Available,Raw
,2525,1,2015-08-05,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY165,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-08-05 07:30:36,2015-08-05 07:45:48,,"Kate,Katie,Natalie,Rebecca",,,1: Sent for analysis to Lou Hobson 2018-10-11,Submitted,Raw
,2525,1,2015-08-05,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY166,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-08-05 07:30:36,2015-08-05 07:45:48,,"Kate,Katie,Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,2525,1,2015-08-05,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY167,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-08-05 07:30:36,2015-08-05 07:45:48,,"Kate,Katie,Natalie,Rebecca",,,,Not Available,Raw
,2525,1,2015-08-05,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU39,,QPHY168,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-08-05 07:30:36,2015-08-05 07:45:48,,"Kate,Katie,Natalie,Rebecca",,,,Not Available,Raw
,2747,1,2015-08-12,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY175,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-08-12 09:43:20,2015-08-12 13:30:10,,"Kate,Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,2747,1,2015-08-12,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY176,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-08-12 09:41:45,2015-08-12 13:30:10,,"Kate,Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,2747,1,2015-08-12,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY177,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-08-12 09:41:45,2015-08-12 13:30:10,,"Kate,Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,2747,1,2015-08-12,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY178,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-08-12 09:41:45,2015-08-12 13:30:10,,"Kate,Natalie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,2868,1,2015-08-20,QUADRA,HAKAI,"QOMA1,QOMA2,QOMA",1,QU39,,QPHY179,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-08-20 08:22:40,2015-08-20 13:37:14,,"Katie,Rebecca",,,1: Sent for analysis to Lou Hobson 2018-10-11,Submitted,Raw
,2868,1,2015-08-20,QUADRA,HAKAI,"QOMA1,QOMA2,QOMA",1,QU39,,QPHY180,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-08-20 08:22:40,2015-08-20 13:37:14,,"Katie,Rebecca",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,2868,1,2015-08-20,QUADRA,HAKAI,"QOMA1,QOMA2,QOMA",1,QU39,,QPHY181,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-08-20 08:22:40,2015-08-20 13:37:14,,"Katie,Rebecca",,,,Not Available,Raw
,2868,1,2015-08-20,QUADRA,HAKAI,"QOMA1,QOMA2,QOMA",1,QU39,,QPHY182,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-08-20 08:22:40,2015-08-20 13:37:14,,"Katie,Rebecca",,,,Not Available,Raw
,2881,1,2015-08-25,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY189,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-08-25 10:11:08,2015-08-25 13:07:52,,"Kate,Natalie",,,1: Sent for analysis to Lou Hobson 2018-10-11,Submitted,Raw
,2881,1,2015-08-25,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY190,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-08-25 10:11:08,2015-08-25 13:07:52,,"Kate,Natalie",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,2881,1,2015-08-25,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY191,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-08-25 10:11:08,2015-08-25 13:07:52,,"Kate,Natalie",,,,Not Available,Raw
,2881,1,2015-08-25,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY192,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-08-25 10:11:08,2015-08-25 13:07:52,,"Kate,Natalie",,,,Not Available,Raw
,3098,1,2015-09-02,QUADRA,HAKAI,"QOMA1,QOMA2",1,QU39,,QPHY197,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-09-02 08:02:08,2015-09-02 14:32:25,,"Kate,Leo,Rebecca,Kristi Inman",,,"1: POM and HPLC were not collected at 0 meters.2: Sent for analysis to Lou Hobson 2018-10-11",Submitted,Raw
,3098,1,2015-09-02,QUADRA,HAKAI,"QOMA1,QOMA2",1,QU39,,QPHY198,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-09-02 08:02:08,2015-09-02 14:32:25,,"Kate,Leo,Rebecca,Kristi Inman",,,"1: POM and HPLC were not collected at 0 meters.2: Sent to Microthalassia at VIU",Submitted,Raw
,3098,1,2015-09-02,QUADRA,HAKAI,"QOMA1,QOMA2",1,QU39,,QPHY199,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-09-02 08:02:08,2015-09-02 14:32:25,,"Kate,Leo,Rebecca,Kristi Inman",,,1: POM and HPLC were not collected at 0 meters.,Not Available,Raw
,3098,1,2015-09-02,QUADRA,HAKAI,"QOMA1,QOMA2",1,QU39,,QPHY200,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-09-02 08:02:08,2015-09-02 14:32:25,,"Kate,Leo,Rebecca,Kristi Inman",,,1: POM and HPLC were not collected at 0 meters.,Not Available,Raw
,3283,1,2015-09-09,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY205,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-09-09 09:26:51,2015-09-09 13:23:31,,"Kate,Katie,Rebecca",,,"1: Chlorophyll was not collected at 10m. No PON/POC2: Sent for analysis to Lou Hobson 2018-10-11",Submitted,Raw
,3283,1,2015-09-09,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY206,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-09-09 10:17:38,2015-09-09 13:23:31,,"Kate,Katie,Rebecca",,,"1: Chlorophyll was not collected at 10m. No PON/POC2: Sent to Microthalassia at VIU",Submitted,Raw
,3283,1,2015-09-09,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY207,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-09-09 10:17:38,2015-09-09 13:23:31,,"Kate,Katie,Rebecca",,,1: Chlorophyll was not collected at 10m. No PON/POC,Not Available,Raw
,3283,1,2015-09-09,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY208,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-09-09 10:17:38,2015-09-09 13:23:31,,"Kate,Katie,Rebecca",,,1: Chlorophyll was not collected at 10m. No PON/POC,Not Available,Raw
,3303,1,2015-09-15,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY215,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-09-15 10:29:32,2015-09-15 09:58:52,,"Kate,Katie,Rebecca,Emma",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,3303,1,2015-09-15,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY216,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-09-15 10:01:22,2015-09-15 09:58:52,,"Kate,Katie,Rebecca,Emma",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,3303,1,2015-09-15,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY217,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-09-15 10:01:22,2015-09-15 09:58:52,,"Kate,Katie,Rebecca,Emma",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,3303,1,2015-09-15,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY218,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-09-15 10:01:22,2015-09-15 09:58:52,,"Kate,Katie,Rebecca,Emma",,,1: Sent to Microthalassia at VIU,Submitted,Raw
