ACTION,event_pk,Replicate Number,Date,Work Area,Organization,Survey,Sampling Bout,Site ID,Source,Lat,Long,Collection Method,Line Out Depth,Pressure Transducer Depth (m),Acidified,Acidification Method,Volume (ml),part,screen_size,Collected,Preserved,Analyzed,Lab Technician,filter_portion,Project Specific ID,Hakai ID,Weight Before (mg),Weight After (mg),Filter Size (mm),Filter Type,total_beam_n,ug N,%N,delta_air,corr_delta15n,total_beam_c,ug C,%C,delta_pdb,corr_delta13c,C:N,Analyzing Lab,C Flag,N Flag,C:N Flag,Comments,Quality Log,Sample Status,Quality Level
,93,1,2015-01-21,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,5,,FALSE,None,3000,,,2015-01-21 09:13:03,2015-01-21 15:48:39,,"Kate,Rebecca,Megan",1,,QF128,132.7,,47,,,16.62190443,,,6.377946202,,106.6526013,,,-25.53812203,,UCDAVISSIF,,SVC,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,93,1,2015-01-21,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,30,,FALSE,None,2500,,,2015-01-21 09:13:03,2015-01-21 15:48:39,,"Kate,Rebecca,Megan",1,,QF129,132.6,,47,,,9.319767721,,,5.200529048,,138.4260296,,,-25.43632277,,UCDAVISSIF,,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,93,1,2015-01-21,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,240,,FALSE,None,3000,,,2015-01-21 09:13:03,2015-01-21 15:48:39,,"Kate,Rebecca,Megan",1,,QF130,131.3,,47,,,10.00887252,,,5.742511994,,73.52370543,,,-23.06679816,,UCDAVISSIF,SVC,SVC,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,93,1,2015-01-21,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,0,,FALSE,None,3000,,,2015-01-21 09:13:03,2015-01-21 15:48:39,,"Kate,Rebecca,Megan",1,,QF131,131.9,,47,,,14.09867371,,,6.150628248,,93.17857992,,,-26.88545151,,UCDAVISSIF,SVC,SVC,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,93,1,2015-01-21,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,100,,FALSE,None,3000,,,2015-01-21 09:13:03,2015-01-21 15:48:39,,"Kate,Rebecca,Megan",1,,QF132,130.6,,47,,,7.829775032,,,5.79565985,,60.7868758,,,-23.40741524,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,149,1,2015-01-28,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,5,,FALSE,None,2000,,,2015-01-28 08:52:34,2015-01-28 13:12:45,,"Rebecca,Other",1,,QF169,38.9,,25,,,9.367788493,,,6.375137443,,71.58884142,,,-26.73397907,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,149,1,2015-01-28,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,240,,FALSE,None,2000,,,2015-01-28 08:52:34,2015-01-28 13:12:45,,"Rebecca,Other",1,,QF170,38.4,,25,,,7.245280899,,,8.520390576,,52.98519143,,,-22.93596803,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,149,1,2015-01-28,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,100,,FALSE,None,2000,,,2015-01-28 08:52:34,2015-01-28 13:12:45,,"Rebecca,Other",1,,QF171,37.8,,25,,,5.449583995,,,5.652658544,,41.99549855,,,-23.36948461,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,149,1,2015-01-28,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,0,,FALSE,None,2000,,,2015-01-28 08:52:34,2015-01-28 13:12:45,,"Rebecca,Other",1,,QF172,38.2,,25,,,7.228852341,,,6.337750166,,63.55954781,,,-26.83352917,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,149,1,2015-01-28,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,30,,FALSE,None,2000,,,2015-01-28 08:52:34,2015-01-28 13:12:45,,"Rebecca,Other",1,,QF173,37.8,,25,,,5.474400126,,,6.613675534,,39.06239145,,,-25.83598534,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,160,1,2015-02-03,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,100,,FALSE,None,2000,,,2015-02-03 09:00:43,2015-02-03 13:33:01,,"Kate,Katie,Other",1,,QF177,38.1,,25,,,12.04138869,,,8.39379692,,90.39860891,,,-24.26392093,,UCDAVISSIF,SVC,SVC,,,"1: Checked by KP2: C: Precision decreases for samples containing less than 100ugC. N: Precision decreases for samples containing less than 20ugN. Results checked by RP.",Results,Technicianmr
,160,1,2015-02-03,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,5,,FALSE,None,2000,,,2015-02-03 09:00:43,2015-02-03 13:33:01,,"Kate,Katie,Other",1,,QF178,38.6,,25,,,35.46000867,,,6.003603706,,220.2676029,,,-28.30010781,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technicianmr
,160,1,2015-02-03,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,30,,FALSE,None,2000,,,2015-02-03 09:00:43,2015-02-03 13:33:01,,"Kate,Katie,Other",1,,QF194,38.1,,25,,,5.968434559,,,7.10608586,,48.04526074,,,-26.52497788,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,160,1,2015-02-03,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,240,,FALSE,None,1000,,,2015-02-03 09:00:43,2015-02-03 13:33:01,,"Kate,Katie,Other",1,,QF195,38.1,,25,,,42.72444221,,,13.07318402,,234.7442701,,,-21.84303656,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,160,1,2015-02-03,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,0,,FALSE,None,1900,,,2015-02-03 09:00:43,2015-02-03 13:33:01,,"Kate,Katie,Other",1,,QF196,37.7,,25,,,14.61695517,,,6.086079655,,108.1044662,,,-25.57330632,,UCDAVISSIF,,SVC,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,173,1,2015-02-11,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,240,,FALSE,None,1700,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,"Bryn,Katie,Rebecca",1,,QF182,38.1,,25,,,3.316916894,,,5.731670191,,34.38500362,,,-23.71727525,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,173,1,2015-02-11,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,240,,TRUE,Immersion,1700,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,,1,,QF183,37.9,,25,,,8.140166345,,,10.36332026,,65.97571061,,,-25.09055075,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,173,1,2015-02-11,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,100,,FALSE,None,1800,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,"Bryn,Katie,Rebecca",1,,QF184,37.5,,25,,,3.460519949,,,4.627965019,,29.97421234,,,-23.66836308,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,173,1,2015-02-11,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,5,,FALSE,None,1000,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,"Bryn,Katie,Rebecca",1,,QF186,38.1,,25,,,4.30489368,,,4.951140569,,30.26831575,,,-27.27003445,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,173,1,2015-02-11,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,5,,TRUE,Immersion,1000,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,,1,,QF187,38.8,,25,,,15.07121729,,,3.633329311,,62.00236309,,,-27.18746876,,UCDAVISSIF,SVC,SVC,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,173,1,2015-02-11,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,30,,FALSE,None,1500,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,"Bryn,Katie,Rebecca",1,,QF188,38,,25,,,7.349060766,,,3.080992167,,42.907917,,,-25.63856469,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,173,1,2015-02-11,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,30,,TRUE,Immersion,1500,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,,1,,QF189,38.2,,25,,,11.73596545,,,4.35950589,,54.66454068,,,-25.71667978,,UCDAVISSIF,SVC,SVC,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,173,1,2015-02-11,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,0,,TRUE,Immersion,1700,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,,1,,QF190,39,,25,,,22.2171022,,,3.51524062,,123.9333605,,,-27.71674512,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,200,1,2015-02-18,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,M,50.03,-125.08,,100,,FALSE,None,,,,2015-02-18 09:31:29,2015-02-18 09:30:05,,,1,,QF222,36.1,,25,,,,,,,,31.68235233,,,-26.75687893,,UCDAVISSIF,SVC,SVD,,,"1: iPad form glitch, no volume data available.2: iPad form glitch, no volume data available. Checked by KP3: Results checked by RP.4: TRIAL RUN FOR QOMA1,2

MICROBIAL: Four cell counts were taken for each depth at station QU24. Duplicates for 1 mL and 2 mL of sample were taken both with 40 uL of Gluteraldehyde.


POP DATA:
Surface-QF226 (990 ml) 
5-QF227 (1000 ml)
10-QF228 (1000 ml)
30-QF229 (1000 ml)
100-QF230 (1000ml)
240-QF231 (1000ml)

HPLC: volumes are approximate, filters not blotted before freezing",Results,Technician
,188,1,2015-02-24,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,240,,TRUE,Immersion,500,,,2015-02-24 09:00:22,2015-02-24 15:31:00,,"Kate,Katie,Midoli,Rebecca",1,,QF245,36.5,,25,,,7.496265601,,,6.598635168,,55.89464594,,,-23.05753533,,UCDAVISSIF,SVC,SVD,,,"1: Depth entered as 0m, assumed to be 240 based on order in marine lab breakout sheet2: Depth entered as 0m, assumed to be 240 based on order in marine lab breakout sheet. Checked by KP3: Depths are not accurate. Phyto bloom4: Results checked by RP.",Results,Technician
,188,1,2015-02-24,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,240,,FALSE,None,500,,,2015-02-24 09:00:22,2015-02-24 15:31:00,,"Kate,Katie,Midoli,Rebecca",1,,QF246,37.7,,25,,,6.430095567,,,6.208393969,,52.01188828,,,-22.05906551,,UCDAVISSIF,SVC,SVD,,,"1: Depth entered as 0m, assumed to be 240 based on order in marine lab breakout sheet2: Depth entered as 0m, assumed to be 240 based on order in marine lab breakout sheet. Checked by KP3: Depths are not accurate. Phyto bloom4: Results checked by RP.",Results,Technician
,188,1,2015-02-24,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,100,,TRUE,Immersion,1500,,,2015-02-24 09:00:22,2015-02-24 15:31:00,,"Kate,Katie,Midoli,Rebecca",1,,QF247,37.6,,25,,,2.255414918,,,8.52026739,,28.79813029,,,-24.10583677,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom3: Results checked by RP.",Results,Technician
,188,1,2015-02-24,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,100,,FALSE,None,1500,,,2015-02-24 09:00:22,2015-02-24 15:31:00,,"Kate,Katie,Midoli,Rebecca",1,,QF248,37.2,,25,,,2.765475544,,,8.170012905,,28.03294842,,,-23.96181685,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom3: Results checked by RP.",Results,Technician
,188,1,2015-02-24,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,0,,FALSE,None,500,,,2015-02-24 09:00:22,2015-02-24 15:31:00,,"Kate,Katie,Midoli,Rebecca",1,,QF249,37.5,,25,,,35.65253676,,,6.144463069,,182.5122644,,,-19.58585962,,UCDAVISSIF,,,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom3: Results checked by RP.",Results,Technician
,188,1,2015-02-24,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,0,,TRUE,Immersion,500,,,2015-02-24 09:00:22,2015-02-24 15:31:00,,"Kate,Katie,Midoli,Rebecca",1,,QF250,36.5,,25,,,85.62343618,,,5.42510962,,400.143818,,,-19.05173729,,UCDAVISSIF,,,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom3: Results checked by RP.",Results,Technician
,188,1,2015-02-24,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,30,,TRUE,Immersion,1000,,,2015-02-24 09:00:22,2015-02-24 15:31:00,,"Kate,Katie,Midoli,Rebecca",1,,QF251,36.3,,25,,,9.133304766,,,6.451527562,,49.02242592,,,-24.23555591,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom3: Results checked by RP.",Results,Technician
,188,1,2015-02-24,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,30,,FALSE,None,1000,,,2015-02-24 09:00:22,2015-02-24 15:31:00,,"Kate,Katie,Midoli,Rebecca",1,,QF252,36.1,,25,,,2.811429331,,,6.203743701,,22.08954572,,,-23.23908525,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom3: Results checked by RP.",Results,Technician
,188,1,2015-02-24,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,5,,TRUE,Immersion,200,,,2015-02-24 09:00:22,2015-02-24 15:31:00,,"Kate,Katie,Midoli,Rebecca",1,,QF255,36.1,,25,,,42.55370625,,,5.210795518,,183.9432126,,,-19.10409779,,UCDAVISSIF,,,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom3: Results checked by RP.",Results,Technician
,188,1,2015-02-24,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,5,,FALSE,None,200,,,2015-02-24 09:00:22,2015-02-24 15:31:00,,"Kate,Katie,Midoli,Rebecca",1,,QF256,36.6,,25,,,15.1018435,,,5.732952002,,74.88789557,,,-19.64778231,,UCDAVISSIF,SVC,SVC,,,"1: Checked by KP2: Depths are not accurate. Phyto bloom3: Results checked by RP.",Results,Technician
,292,1,2015-03-04,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,M,50.03,-125.08,,240,,FALSE,None,1325,,,2015-03-04 09:45:22,2015-03-04 15:40:21,,"Katie,Leo,Rebecca",1,,QF310,37.9,,25,,,,,,,,,,,,,,,,,,1: Checked by KP,Results,Technician
,292,1,2015-03-04,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,M,50.03,-125.08,,240,,TRUE,Immersion,1325,,,2015-03-04 09:45:22,2015-03-04 15:40:21,,"Katie,Leo,Rebecca",1,,QF311,37.3,,25,,,,,,,,37.68884188,,,-23.88012172,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,292,1,2015-03-04,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,M,50.03,-125.08,,100,,TRUE,Immersion,1490,,,2015-03-04 09:45:22,2015-03-04 15:40:21,,"Katie,Leo,Rebecca",1,,QF313,36.4,,25,,,,,,,,35.54900601,,,-23.42181053,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,292,1,2015-03-04,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,M,50.03,-125.08,,100,,FALSE,None,1480,,,2015-03-04 09:45:22,2015-03-04 15:40:21,,"Katie,Leo,Rebecca",1,,QF314,35.9,,25,,,56.49219638,,,10.13524085,,350.68742,,,-20.6170488,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,292,1,2015-03-04,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,M,50.03,-125.08,,30,,FALSE,None,1110,,,2015-03-04 09:45:22,2015-03-04 15:40:21,,"Katie,Leo,Rebecca",1,,QF317,36,,25,,,9.069336432,,,5.239201391,,54.61629206,,,-21.1382611,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,292,1,2015-03-04,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,M,50.03,-125.08,,30,,TRUE,Immersion,1120,,,2015-03-04 09:45:22,2015-03-04 15:40:21,,"Katie,Leo,Rebecca",1,,QF318,36.7,,25,,,15.4813973,,,3.581972153,,74.80691847,,,-21.0755415,,UCDAVISSIF,SVC,SVC,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,292,1,2015-03-04,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,M,50.03,-125.08,,5,,FALSE,None,780,,,2015-03-04 09:45:22,2015-03-04 15:40:21,,"Katie,Leo,Rebecca",1,,QF323,36.6,,25,,,40.13715742,,,6.755191886,,218.2190776,,,-19.17086736,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,292,1,2015-03-04,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,M,50.03,-125.08,,5,,TRUE,Immersion,750,,,2015-03-04 09:45:22,2015-03-04 15:40:21,,"Katie,Leo,Rebecca",1,,QF324,37.7,,25,,,70.5653579,,,6.992448277,,324.722805,,,-18.62084177,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,292,1,2015-03-04,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,M,50.03,-125.08,,0,,FALSE,None,700,,,2015-03-04 09:45:22,2015-03-04 15:40:21,,"Katie,Leo,Rebecca",1,,QF326,37.6,,25,,,29.21084335,,,7.043526662,,179.5280479,,,-19.54028249,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,292,1,2015-03-04,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU24,M,50.03,-125.08,,0,,TRUE,Immersion,720,,,2015-03-04 09:45:22,2015-03-04 15:40:21,,"Katie,Leo,Rebecca",1,,QF327,35.8,,25,,,49.61049816,,,7.024795384,,234.460286,,,-18.76770361,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,335,1,2015-03-13,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,M,50.03,-125.08,,0,,TRUE,Immersion,1000,,,2015-03-13 09:00:01,2015-03-13 16:15:12,,Kate,1,,QF342,35.4,,25,,,63.8194422,,,5.909250496,,336.2253602,,,-21.12066057,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,335,1,2015-03-13,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,M,50.03,-125.08,,0,,FALSE,None,1000,,,2015-03-13 09:00:01,2015-03-13 16:15:12,,Kate,1,,QF343,36.3,,25,,,80.09285134,,,6.553246451,,455.734428,,,-21.24748238,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,335,1,2015-03-13,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,M,50.03,-125.08,,5,,TRUE,Immersion,1000,,,2015-03-13 09:00:01,2015-03-13 16:15:12,,Kate,1,,QF344,36.4,,25,,,76.17460887,,,6.13931772,,358.2673883,,,-19.45609749,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,335,1,2015-03-13,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,M,50.03,-125.08,,5,,FALSE,None,1000,,,2015-03-13 09:00:01,2015-03-13 16:15:12,,Kate,1,,QF345,36.4,,25,,,64.42570077,,,6.610338881,,334.6545251,,,-19.48209231,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,335,1,2015-03-13,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,M,50.03,-125.08,,240,,FALSE,None,1000,,,2015-03-13 09:00:01,2015-03-13 16:15:12,,Kate,1,,QF350,37.6,,25,,,5.301749747,,,2.573803457,,33.70525388,,,-22.03850143,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,335,1,2015-03-13,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,M,50.03,-125.08,,240,,TRUE,Immersion,1000,,,2015-03-13 09:00:01,2015-03-13 16:15:12,,Kate,1,,QF351,37.3,,25,,,4.845048239,,,4.25317471,,42.28510093,,,-24.12832834,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,335,1,2015-03-13,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,M,50.03,-125.08,,100,,TRUE,Immersion,1000,,,2015-03-13 09:00:01,2015-03-13 16:15:12,,Kate,1,,QF354,37.3,,25,,,17.3299247,,,3.754967374,,33.75524985,,,-23.34863008,,UCDAVISSIF,SVC,SVC,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,335,1,2015-03-13,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,M,50.03,-125.08,,100,,FALSE,None,1000,,,2015-03-13 09:00:01,2015-03-13 16:15:12,,Kate,1,,QF355,38.2,,25,,,5.515883916,,,5.514986599,,32.03732605,,,-22.12772962,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,335,1,2015-03-13,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU24,M,50.03,-125.08,,30,,FALSE,None,1000,,,2015-03-13 09:00:01,2015-03-13 16:15:12,,Kate,1,,QF358,38.1,,25,,,32.09377795,,,5.208542673,,162.1489502,,,-20.20036802,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
